,component,days,delay,level,preparation,temps_indirect,total_days
0,7179Q,2.2369177688326625,20,4,0.0,0.0,22.23691776883266
0,7208A,0.05668085106382978,0,4,0.0,0.0,0.05668085106382978
0,7246Z,2.2369177688326625,20,4,0.0,0.0,22.23691776883266
0,7286M,5.243243243243244,20,4,0.0,0.0,25.243243243243242
0,7286N,2.2369177688326625,20,4,0.0,0.0,22.23691776883266
0,7210P,0.05668085106382978,0,4,0.0,0.0,0.05668085106382978
0,7221A,6.808510638297872,0,4,0.0,0.0,6.808510638297872
0,7434V,20.76595744680851,0,4,0.0,0.0,20.76595744680851
0,7201H,1.1914893617021276,0,5,0.0,0.0,1.1914893617021276
0,7201J,1.1914893617021276,0,5,0.0,0.0,1.1914893617021276
0,7201S,1.1914893617021276,0,5,0.0,0.0,1.1914893617021276
0,7201Y,11.914893617021276,5,5,0.0,0.0,16.914893617021278
0,7201Y,11.914893617021276,5,5,0.0,0.0,16.914893617021278
0,7203B,0.1276595744680851,0,5,0.0,0.0,0.1276595744680851
0,5250ASTV,4.368851063829787,0,5,0.0,0.0,4.368851063829787
0,7201V,41.702127659574465,5,5,0.0,0.0,46.702127659574465
0,5250CSTV,4.368851063829787,0,5,0.0,0.0,4.368851063829787
0,5250BSTV,4.368851063829787,0,5,0.0,0.0,4.368851063829787
0,5261C,0.1340425531914894,15,5,0.0,0.0,15.13404255319149
0,4160W,115.74468085106383,0,5,0.0,0.0,115.74468085106383
0,5956B,73.57446808510637,0,5,0.0,0.0,73.57446808510637
0,7355E,0.0851063829787234,0,5,0.0,0.0,0.0851063829787234
0,5201A,0.1702127659574468,0,5,0.0,0.0,0.1702127659574468
0,5201T,0.0851063829787234,0,5,0.0,0.0,0.0851063829787234
0,5201C,0.0851063829787234,0,5,0.0,0.0,0.0851063829787234
0,5201U,0.0851063829787234,0,5,0.0,0.0,0.0851063829787234
0,5956D,73.57446808510637,0,5,0.0,0.0,73.57446808510637
0,7355E,0.0851063829787234,0,5,0.0,0.0,0.0851063829787234
0,5201A,0.1702127659574468,0,5,0.0,0.0,0.1702127659574468
0,5201T,0.0851063829787234,0,5,0.0,0.0,0.0851063829787234
0,5201C,0.0851063829787234,0,5,0.0,0.0,0.0851063829787234
0,5201U,0.0851063829787234,0,5,0.0,0.0,0.0851063829787234
0,5956L,73.57446808510637,0,5,0.0,0.0,73.57446808510637
0,7355E,0.0851063829787234,0,5,0.0,0.0,0.0851063829787234
0,5201A,0.1702127659574468,0,5,0.0,0.0,0.1702127659574468
0,5201T,0.0851063829787234,0,5,0.0,0.0,0.0851063829787234
0,5201C,0.0851063829787234,0,5,0.0,0.0,0.0851063829787234
0,5201U,0.0851063829787234,0,5,0.0,0.0,0.0851063829787234
0,7203B,0.1276595744680851,0,5,0.0,0.0,0.1276595744680851
0,7203B,0.1276595744680851,0,5,0.0,0.0,0.1276595744680851
0,7214D,0.1702127659574468,0,5,0.0,0.0,0.1702127659574468
0,7214C,0.1702127659574468,0,5,0.0,0.0,0.1702127659574468
0,7208A,0.05668085106382978,0,5,0.0,0.0,0.05668085106382978
0,8624W,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
0,7214D,0.1702127659574468,0,5,0.0,0.0,0.1702127659574468
0,7214C,0.1702127659574468,0,5,0.0,0.0,0.1702127659574468
0,7208A,0.05668085106382978,0,5,0.0,0.0,0.05668085106382978
0,7214D,0.1702127659574468,0,5,0.0,0.0,0.1702127659574468
0,7214C,0.1702127659574468,0,5,0.0,0.0,0.1702127659574468
0,7208A,0.05668085106382978,0,5,0.0,0.0,0.05668085106382978
0,7222T1H,1.0212765957446808,40,5,0.0,0.0,41.02127659574468
0,7434T,0.425531914893617,0,5,0.0,0.0,0.425531914893617
0,7177T,6.900517538815412,0,5,0.0,0.0,6.900517538815412
0,7121Q1H,0.0,0,5,0.0,0.0,0.0
0,7771T,11.040828062104659,0,5,0.0,0.0,11.040828062104659
0,7177M,3.3640023001725132,0,5,0.0,0.0,3.3640023001725132
0,7177L,6.900517538815412,0,5,0.0,0.0,6.900517538815412
0,7177U,6.900517538815412,0,5,0.0,0.0,6.900517538815412
0,7771P,11.040828062104659,0,5,0.0,0.0,11.040828062104659
0,7771Q,11.040828062104659,0,5,0.0,0.0,11.040828062104659
0,7177A,0.1725129384703853,0,5,0.0,0.0,0.1725129384703853
0,7177M,3.3640023001725132,0,5,0.0,0.0,3.3640023001725132
0,7177L,6.900517538815412,0,5,0.0,0.0,6.900517538815412
0,7177U,6.900517538815412,0,5,0.0,0.0,6.900517538815412
0,7771K,11.040828062104659,0,5,0.0,0.0,11.040828062104659
0,7177A,0.1725129384703853,0,5,0.0,0.0,0.1725129384703853
0,7177T,6.900517538815412,0,5,0.0,0.0,6.900517538815412
0,7771X,11.040828062104659,0,5,0.0,0.0,11.040828062104659
0,7771Y,11.040828062104659,0,5,0.0,0.0,11.040828062104659
0,7177A,0.1725129384703853,0,5,0.0,0.0,0.1725129384703853
0,7177M,3.3640023001725132,0,5,0.0,0.0,3.3640023001725132
0,7177L,6.900517538815412,0,5,0.0,0.0,6.900517538815412
0,7771R,11.040828062104659,0,5,0.0,0.0,11.040828062104659
0,7177U,6.900517538815412,0,5,0.0,0.0,6.900517538815412
0,7177A,0.1725129384703853,0,5,0.0,0.0,0.1725129384703853
0,7203B,0.1276595744680851,0,6,0.0,0.0,0.1276595744680851
0,7203B,0.1276595744680851,0,6,0.0,0.0,0.1276595744680851
0,7203B,0.1276595744680851,0,6,0.0,0.0,0.1276595744680851
0,5245R,27.829787234042552,15,6,0.0,0.0,42.829787234042556
0,7201H,1.1914893617021276,0,6,0.0,0.0,1.1914893617021276
0,7201J,1.1914893617021276,0,6,0.0,0.0,1.1914893617021276
0,5245R,27.829787234042552,15,6,0.0,0.0,42.829787234042556
0,7201H,1.1914893617021276,0,6,0.0,0.0,1.1914893617021276
0,7201J,1.1914893617021276,0,6,0.0,0.0,1.1914893617021276
0,5261A,0.12949787234042556,15,6,0.0,0.0,15.129497872340426
0,4160W,115.74468085106383,0,6,0.0,0.0,115.74468085106383
0,5261C,0.1340425531914894,15,6,0.0,0.0,15.13404255319149
0,5261B,0.1331744680851064,15,6,0.0,0.0,15.133174468085107
0,5261A,0.12949787234042556,15,6,0.0,0.0,15.129497872340426
0,5261A,0.12949787234042556,15,6,0.0,0.0,15.129497872340426
0,5261B,0.1331744680851064,15,6,0.0,0.0,15.133174468085107
0,5261A,0.12949787234042556,15,6,0.0,0.0,15.129497872340426
0,5261B,0.1331744680851064,15,6,0.0,0.0,15.133174468085107
0,5261A,0.12949787234042556,15,6,0.0,0.0,15.129497872340426
0,5261B,0.1331744680851064,15,6,0.0,0.0,15.133174468085107
0,5830A,0.1702127659574468,0,6,0.0,0.0,0.1702127659574468
0,8008W,115.74468085106383,0,6,0.0,0.0,115.74468085106383
0,4461S,0.5356585531914894,0,6,0.0,0.0,0.5356585531914894
0,5830A,0.1702127659574468,0,6,0.0,0.0,0.1702127659574468
0,8011W,115.74468085106383,0,6,0.0,0.0,115.74468085106383
0,4461S,0.5356585531914894,0,6,0.0,0.0,0.5356585531914894
0,5830A,0.1702127659574468,0,6,0.0,0.0,0.1702127659574468
0,8051W,115.74468085106383,0,6,0.0,0.0,115.74468085106383
0,4461S,0.5356585531914894,0,6,0.0,0.0,0.5356585531914894
0,7203B,0.1276595744680851,0,6,0.0,0.0,0.1276595744680851
0,7222T,35.744680851063826,30,6,0.0,0.0,65.74468085106383
0,7214D,0.1702127659574468,0,6,0.0,0.0,0.1702127659574468
0,7214C,0.1702127659574468,0,6,0.0,0.0,0.1702127659574468
0,7208A,0.05668085106382978,0,6,0.0,0.0,0.05668085106382978
0,7210P,0.05668085106382978,0,6,0.0,0.0,0.05668085106382978
0,7121Q,24.680851063829788,15,6,0.0,0.0,39.68085106382979
0,7177U,6.900517538815412,0,6,0.0,0.0,6.900517538815412
0,7771S,11.040828062104659,0,6,0.0,0.0,11.040828062104659
0,7210P,0.05668085106382978,0,6,0.0,0.0,0.05668085106382978
0,7177U,6.900517538815412,0,6,0.0,0.0,6.900517538815412
0,7771S,11.040828062104659,0,6,0.0,0.0,11.040828062104659
0,7210P,0.05668085106382978,0,6,0.0,0.0,0.05668085106382978
0,7210P,0.05668085106382978,0,6,0.0,0.0,0.05668085106382978
0,7177U,6.900517538815412,0,6,0.0,0.0,6.900517538815412
0,7771S,11.040828062104659,0,6,0.0,0.0,11.040828062104659
0,7210P,0.05668085106382978,0,6,0.0,0.0,0.05668085106382978
0,5954X,73.57446808510637,0,7,0.0,0.0,73.57446808510637
0,7355E,0.0851063829787234,0,7,0.0,0.0,0.0851063829787234
0,5201T,0.0851063829787234,0,7,0.0,0.0,0.0851063829787234
0,5201C,0.0851063829787234,0,7,0.0,0.0,0.0851063829787234
0,5201A,0.1702127659574468,0,7,0.0,0.0,0.1702127659574468
0,7203B,0.1276595744680851,0,7,0.0,0.0,0.1276595744680851
0,7203B,0.1276595744680851,0,7,0.0,0.0,0.1276595744680851
0,5954X,73.57446808510637,0,7,0.0,0.0,73.57446808510637
0,7355E,0.0851063829787234,0,7,0.0,0.0,0.0851063829787234
0,5201T,0.0851063829787234,0,7,0.0,0.0,0.0851063829787234
0,5201C,0.0851063829787234,0,7,0.0,0.0,0.0851063829787234
0,5201A,0.1702127659574468,0,7,0.0,0.0,0.1702127659574468
0,7203B,0.1276595744680851,0,7,0.0,0.0,0.1276595744680851
0,7203B,0.1276595744680851,0,7,0.0,0.0,0.1276595744680851
0,7215E,64.65702127659574,0,7,0.0,0.0,64.65702127659574
0,5830A,0.1702127659574468,0,8,0.0,0.0,0.1702127659574468
0,8013W,115.74468085106383,0,8,0.0,0.0,115.74468085106383
0,4461S,0.4778486808510638,0,8,0.0,0.0,0.4778486808510638
0,5830A,0.1702127659574468,0,8,0.0,0.0,0.1702127659574468
0,8013W,115.74468085106383,0,8,0.0,0.0,115.74468085106383
0,4461S,0.4778486808510638,0,8,0.0,0.0,0.4778486808510638
0,4997W,115.74468085106383,0,8,0.0,0.0,115.74468085106383
